datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
2007-08-27 04:34:00,san luis obispo,ca,us,circle,5,4-5 seconds,Round&#44 white&#44 slow moving object seen in San Luis Obispo California,2007-10-08,35.2827778,-120.6586111
2007-08-27 05:03:00,fayetteville,ga,us,flash,3600,1 hour,I was watching lunar eclipse on Monday with uncle.After full eclipse decided to look at how bright the stars where.I saw Orion&#39s belt a,2007-10-08,33.4486111,-84.455
2007-08-27 13:20:00,york,pa,us,sphere,45,45 seconds,I witnessed a glowing sphere darting across the sky and making a spiral maneuver.,2007-10-08,39.9625,-76.7280556
2007-08-27 17:30:00,alvin,tx,us,fireball,20,20 seconds,Red and green object with noise that made a thumping noise when it hit the ground.,2008-06-12,29.4236111,-95.2438889
2007-08-27 20:14:00,toronto (canada),on,ca,other,120,2 minutes,I have five photographs of a black pitchfork shaped object moving from top to bottom of  the moon with two vapor trails,2007-10-08,43.666667,-79.416667
2007-08-27 20:15:00,oak grove,ky,us,changing,180,3 minutes,From interstate highway&#44 we saw an aircraft with 6 or 7 white lights changed shape and direction quickly.,2007-10-08,36.665,-87.4427778
2007-08-27 20:50:00,niota,il,us,light,25,about25seconds?,String of orange lights near Niota ILLinois August 27&#44 2007,2007-10-08,40.6175,-91.2877778
2007-08-27 21:00:00,aliso viejo,ca,us,disk,1200,20 minutes,Oval-shaped circle of very bright lights hovering and gliding from sided to side laterally in the sky over Aliso Viejo,2007-10-08,33.6083333,-117.7444444
2007-08-27 21:22:00,sedona,az,us,chevron,2,2 seconds,Chevon shaped object flaming at each tip falls to earth north of Sedona&#44 Arizona.,2007-10-08,34.8697222,-111.7602778
2007-08-27 21:40:00,davie,fl,us,unknown,60,60 sec,Saw lights in sky moving east very fast&#44 did not match planes near by,2007-10-08,26.0625,-80.2333333
2007-08-27 22:00:00,sandpoint,id,us,light,3600,1 hour,Flashing erractic UFO,2007-10-08,48.2766667,-116.5522222
2007-08-27 23:00:00,roosevelt,mi,us,circle,86400,monday,i sow the ufo around 2:23 in the morning i was stuned at want i sow i went out side to see it but then i sow 4 lights and a flash like,2007-10-08,43.3491667,-84.1902778
2008-08-27 00:19:00,waterloo (canada),on,ca,sphere,7,7 seconds,fast object&#44no sound &#44no lights pure speed.,2008-10-31,45.35,-72.516667
2008-08-27 01:26:00,anniston,al,us,circle,5,5 seconds,It was circular and was in a cylindrical tube of blue light.,2008-10-31,33.6597222,-85.8316667
2008-08-27 03:04:00,pearland,tx,us,fireball,2,seconds,Bright Fireball-like object appeared/disappeared for 6 seconds over suburb of Houston at 3:04am,2008-10-31,29.5633333,-95.2858333
2008-08-27 12:00:00,houston,tx,us,cylinder,300,5 minutes,It took this long to find  wedsite  of the probe I saw in story above.,2013-05-15,29.7630556,-95.3630556
2008-08-27 12:25:00,houston,tx,us,cylinder,300,5 min,UFO PROB/FBI/CIA? 27 AUG 08 I was leaving work around 12:25 pm&#44 27 Aug 08&#44 Ellington Fld&#44 Houston&#44 TX-- I was going home to evacuating,2009-08-27,29.7630556,-95.3630556
